common_gene_name
AATF
ABCF1
ABT1
ACO1
ADAR
ADD1
AGGF1
AGO1
AIMP1
AKAP1
AKAP8
ALYREF
AQR
ASCC1
ATXN1
ATXN2
AUH
BCCIP
BCLAF1
BOP1
BUD13
CALR
CASC3
CCAR1
CCDC124
CCDC86
CDC40
CEBPZ
CELF1
CKAP4
CMTR1
CNOT7
CORO1A
CPEB4
CPSF6
CPSF7
CSTF1
CSTF2
CSTF2T
DAZAP1
DDX1
DDX19B
DDX20
DDX21
DDX24
DDX27
DDX3X
DDX3Y
DDX42
DDX5
DDX52
DDX55
DDX59
DDX6
DGCR8
DHX29
DHX30
DHX33
DKC1
DNAJC17
DNAJC2
DNAJC21
DROSHA
EEF2
EFTUD2
EIF2S1
EIF2S2
EIF3A
EIF3D
EIF3G
EIF3H
EIF4A2
EIF4A3
EIF4B
EIF4G1
EIF4G2
EIF4H
ESF1
EWSR1
EXOSC9
FAM120A
FASTKD1
FASTKD2
FIP1L1
FKBP4
FMR1
FUBP1
FUBP3
FUS
FXR1
FXR2
G3BP1
G3BP2
GEMIN5
GLRX3
GNL3
GOLGB1
GPKOW
GRSF1
GRWD1
HDGF
HMGB1
HNRNPC
HNRNPF
HNRNPK
HNRNPUL1
HSPD1
IGF2BP1
IGF2BP2
IGF2BP3
ILF3
KHDRBS1
KHDRBS2
KHSRP
KIF1C
KRR1
LARP1
LARP4
LARP7
LIN28B
LSM11
LSM4
MAGOH
MAK16
MARK2
MATR3
METAP2
MSI2
MTPAP
NAA15
NCBP2
NFX1
NIP7
NKRF
NOL12
NOLC1
NONO
NPM1
NSUN2
NUFIP2
NUP35
NUSAP1
NXF1
PA2G4
PABPC3
PABPC4
PABPN1
PCBP1
PCBP2
PCBP3
PES1
PHF6
PKM
PNN
PNPT1
PPIG
PPIL4
PPP1R8
PRPF4
PRPF6
PRPF8
PRRC2C
PSIP1
PSPC1
PTBP1
PUF60
PUM1
PUM2
PUS1
QKI
RACK1
RAVER1
RBFOX2
RBM15
RBM17
RBM25
RBM27
RBM34
RBM39
RBM4
RBM5
RBM6
RBMX2
RCC2
RECQL
RECQL5
RPL23A
RPLP0
RPS11
RPS24
RPS3
RPS3A
RPS5
RRP9
RTF1
SAFB2
SART3
SBDS
SCAF4
SERBP1
SF1
SF3A3
SF3B4
SFPQ
SLBP
SLC4A1AP
SLTM
SMN1
SMNDC1
SND1
SNRNP200
SRFBP1
SRP68
SRPK2
SRSF1
SRSF4
SRSF5
SRSF7
SRSF9
SSB
STIP1
SUB1
SUCLG1
SUGP2
SUPT6H
SUPV3L1
TAF15
TARDBP
TBRG4
TFIP11
TIAL1
TNRC6A
TOE1
TRA2A
TRIM56
TRIP6
TUFM
U2AF1
U2AF2
UBAP2L
UBE2L3
UCHL5
UPF2
UTP18
UTP3
WDR3
WDR43
WRN
XPO1
XPO5
XRCC5
XRCC6
XRN1
XRN2
YBX3
YTHDC2
ZC3H11A
ZC3H8
ZFC3H1
ZNF106
ZNF622
ZRANB2
